"","id","id_str","name","screen_name","location","description","url","followers_count","friends_count"
"1",829794295355940864,"829794295355940866","Sen Luther Strange","SenatorStrange","Alabama, USA","Official Twitter account for Alabama Senator Luther Strange",,1376,81
"2",827279765287559168,"827279765287559171","Rep. Mike Johnson","RepMikeJohnson","Washington, DC","Proudly serving Louisiana's 4th Congressional District. Member on @HouseJudiciary & @NatResources.","https://t.co/qLAyhrFbRl",717,358
"3",817138492614524928,"817138492614524928","Ted Budd","RepTedBudd","Davie County, North Carolina ","Proudly serving the 13th district of North Carolina. #NC13","https://t.co/VTsvWe0pia",1024,45
"4",817076257770835968,"817076257770835968","Adriano Espaillat","RepEspaillat","https://www.facebook.com/Congr","U. S. Representative proudly serving New York’s 13th Congressional District. Follow my work in Washington and #NY13","https://t.co/lcRqmQFAbz",3416,345
"5",817050219007328256,"817050219007328258","Rep. Blunt Rochester","RepBRochester","Delaware, USA - Washington, DC","Official Twitter page for U.S. Representative Lisa Blunt Rochester (D-DE). Tweets from Rep. Blunt Rochester signed -LBR.","https://t.co/Fe3XCG51wO",1563,181
"6",816833925456789504,"816833925456789505","Nanette D. Barragán","RepBarragan","San Pedro, CA","Official account. Honored to represent California's 44th Congressional District #CA44. Member of the @HispanicCaucus @USProgressives  @Dodgers fan.","https://t.co/Mt3nPi7hSH",3161,299
"7",816719802328715264,"816719802328715264","Rep. Liz Cheney","RepLizCheney","Wyoming, USA","Official Page of Congressman Liz Cheney, proudly representing the people of Wyoming.","https://t.co/lBZ7grDQC9",1195,8
"8",816705409486618624,"816705409486618624","Tom Suozzi","RepTomSuozzi","Glen Cove, NY","Representing New York's 3rd Congressional District including parts of Queens, Nassau and Suffolk counties. https://t.co/aWr41ZGlpq","https://t.co/W1aDTzXG3i",1537,71
"9",816683274076614656,"816683274076614656","John Kennedy","SenJohnKennedy","Louisiana","The official Twitter page for U.S. Senator John N. Kennedy (R-La) https://t.co/4ceoNzx1Ck","https://t.co/idGDfTIv0R",2507,1158
"10",816303263586914304,"816303263586914304","Brian Fitzpatrick","RepBrianFitz","Levittown, PA","An independent voice for the people of #PA08. Former FBI Special Agent & Federal Prosecutor. EMT, CPA & Philly sports fan. #GoBirds",,1623,115
"11",816298918468259840,"816298918468259841","Rep. Ro Khanna","RepRoKhanna","Silicon Valley, CA","Ro Khanna, US representative for #CA17 in Silicon Valley. Working to bring tech jobs in my district & across America. No contributions from PACs, lobbyists.","https://t.co/zsSd8F9cmH",2586,111
"12",816284664658874368,"816284664658874368","Rep. Arrington","RepArrington","West Texas","The official Twitter account for Congressman Jodey Arrington. Building a better West Texas. Fighting for the future of America.","https://t.co/DZziBJQejF",1186,638
"13",816282029276938240,"816282029276938240","Rep. Ruben J. Kihuen","RepKihuen","Las Vegas, NV","U.S. Representative proudly serving Nevada's 4th Congressional District. #NV04","https://t.co/hxkQxh0y6f",5851,105
"14",816181091673448448,"816181091673448448","Rep. Donald McEachin","RepMcEachin","","Father, husband & Progressive Democrat in Congress. Proudly representing VA’s 4th Congressional District. Member of @HASCDemocrats & @NRDems.","https://t.co/IsHgFCD4gT",2118,780
"15",816157667882373120,"816157667882373120","Rep. Salud Carbajal","RepCarbajal","","Proudly representing California's 24th Congressional District.","https://t.co/NUyaVL9EFp",2106,577
"16",816131319033950208,"816131319033950208","Jim Banks","RepJimBanks","Indiana's 3rd District","Official account of U.S. Congressman Jim Banks (IN-3).","https://t.co/Uxbf6p28Ch",1497,283
"17",816111677917851648,"816111677917851649","Francis Rooney","RepRooney","SWFL","Honored to serve the citizens of Florida's 19th Congressional District. Official Government account.",,1078,149
"18",816047090849746944,"816047090849746945","Jason Lewis","RepJasonLewis","","Proudly representing #MN02.   Fighting for a better future for our kids and a government that works for you.","https://t.co/wc5GLQ9gpP",1941,92
"19",816030424778543104,"816030424778543104","Rep. Charlie Crist","RepCharlieCrist","St Petersburg, FL","Representing Florida's 13th Congressional District in the U.S. House of Representatives.","https://t.co/sRAl6TocNC",1941,160
"20",816012124505931776,"816012124505931780","Rep. David Kustoff","repdavidkustoff","Washington, D.C./TN-08","Official news and updates from Congressman David Kustoff (R-Tenn.), Proudly serving the 8th District of Tennessee","https://t.co/ZB6hjscM8M",1141,293
"21",815985039485837312,"815985039485837312","Lou Correa","RepLouCorrea","Santa Ana, CA","Official Twitter account of Rep. Lou Correa CA-46",,1059,0
"22",815966620300480512,"815966620300480514","Rep. Mike Gallagher","RepGallagher","Green Bay, WI","Green Bay Native, Marine Veteran, and Eisenhower Nerd proudly representing #WI08 in Congress. #GoPackGo.","https://t.co/uBDJgXRW2D",1475,297
"23",815952318487298048,"815952318487298048","Dr. Neal Dunn","DrNealDunnFL2","","Official government Twitter account for Congressman Neal Dunn (FL-02).","https://t.co/6TJeLaAA4w",1307,104
"24",815931811348017152,"815931811348017152","John Faso","RepJohnFaso","NY-19","Representing New York's 19th Congressional District","https://t.co/pObyHYjCtj",1964,113
"25",815310506596691968,"815310506596691968","Rep Josh Gottheimer","RepJoshG","","Honored to serve the people of New Jersey's 5th District. Working across the aisle to solve problems, lower taxes, and fight for Jersey values.","https://t.co/ceIx0jIT4u",1400,20
"26",814179031956488192,"814179031956488192","Raja Krishnamoorthi","CongressmanRaja","Schaumburg, IL","Official Twitter account of Congressman   Raja Krishnamoorthi, representing Illinois' 8th Congressional District.","https://t.co/zHGbk8wDWc",1965,363
"27",814103950404239360,"814103950404239360","Rep. Brian Mast","RepBrianMast","","Proud husband, father of 3 & Army veteran.  Humbly serving the 18th Congressional District of Florida. Please  contact me if you need assistance.","https://t.co/RvOcSkIg4F",1967,423
"28",811986281177772032,"811986281177772032","Trey Hollingsworth","RepTrey","Indiana's 9th District","Proudly serving my fellow Hoosiers of Indiana's 9th District. Member of the House Financial Services Committee.",,1350,270
"29",811632636598910976,"811632636598910976","Rep. Paul Mitchell","RepPaulMitchell","","Official account for Congressman Paul Mitchell #MI10",,1052,156
"30",811313565760163840,"811313565760163844","Senator Cortez Masto","SenCortezMasto","","U.S. Senator from the great state of Nevada.","https://t.co/v6sRnbH7nI",9632,227
"31",806906355214852096,"806906355214852096","Rep. Jamie Raskin","RepRaskin","Maryland's 8th District","Proudly serving #MD08. Member of @HouseJudDems @OversightDems @HouseAdm_Dems @USProgressives. https://t.co/SVhVejROog","https://t.co/bo0IGrClrq",10623,426
"32",806583915012046848,"806583915012046854","Drew Ferguson","RepDrewFerguson","West Point, GA","Proud to serve the good people of Georgia's 3rd District in Congress",,1083,99
"33",798973032362606592,"798973032362606600","Rep. Val Demings","RepValDemings","Washington, DC I Orlando, FL","U.S. Representative Florida's 10th Congressional District. Public Servant. Former Orlando Police Chief. Christian. Wife. Mother. Grandmother. Harley Enthusiast.","https://t.co/9DRF1GBZ3J",2417,145
"34",797201048490430464,"797201048490430465","Congresswoman Tenney","RepTenney","New York-22","Official Twitter account of Rep. Claudia Tenney. Honored to represent #NY22 in the 115th Congress.","https://t.co/GAdZcAJwj0",970,93
"35",796736612554117120,"796736612554117120","Rep. Jimmy Panetta","RepJimmyPanetta","","I'm honored to serve as the Congressman for California's Central Coast (CA-20) in the U.S. House of Representatives.","https://t.co/pkIZ0TkZyY",2055,331
"36",796183515998068736,"796183515998068736","Rep Stephanie Murphy","RepStephMurphy","Winter Park, FL","Official Twitter account for U.S. Congresswoman Stephanie Murphy - proudly representing Seminole & Orange Counties in the U.S. House of Representatives. #FL07","https://t.co/VkxjkJsfPK",7005,250
"37",752364246218862592,"752364246218862592","Rep. Roger Marshall","RepMarshall","Great Bend, KS","Physician, Congressman representing Kansas' Big 1st District","https://t.co/gU0Halbo1e",447,0
"38",747806211983179776,"747806211983179776","Rep. Michael Capuano","RepMikeCapuano","Somerville, MA","Representing MA's 7th District in the U.S. House of Representatives; former Mayor of Somerville. https://t.co/W9wgyLij84","https://t.co/3ljoXJRbEf",4442,114
"39",3686482216,"3686482216","Darin LaHood","RepLaHood","IL-18 Congressional District","Proudly representing the 18th Congressional District of Illinois.","https://t.co/4Vsi29h4ty",4540,290
"40",3317799825,"3317799825","Trent Kelly","RepTrentKelly","","Proudly serving Mississippi's First Congressional District in the U.S. House of Representatives","http://t.co/qE8a4JH0Dl",2065,2004
"41",3122099613,"3122099613","Donald Norcross","DonaldNorcross","","Representing New Jersey's 1st Congressional District in the United States House of Representatives","https://t.co/yD13GE8LK4",3807,1076
"42",3044993235,"3044993235","Rep. Ted Lieu","RepTedLieu","Washington D.C. & Los Angeles","Official Twitter account for the Office of Congressman Ted W. Lieu, serving #CA33 in the US House of Representatives・Follow on Facebook & Instagram @RepTedLieu","https://t.co/pBjTY8HPFz",16897,4633
"43",3041543943,"3041543943","Dan Donovan","dandonovan_ny","","Born & raised on the north shore of Staten Island. Proudly representing the 11th congressional district. Lucky dad to Aniella Rose.",,1725,273
"44",3026622545,"3026622545","Congresswoman Amata","RepAmata","Washington, D.C.","Congresswoman Representing American Samoa. Proudly serving on the @NatResources, @HouseVetAffairs, and @HouseSmallBiz","http://t.co/L7B6x0yzTS",856,142
"45",3018670151,"3018670151","Rep. Pete Aguilar","RepPeteAguilar","San Bernardino, CA","Pete Aguilar represents CA’s 31st Congressional District. A former mayor, Rep. Aguilar is committed to strengthening the Inland Empire’s middle class.","http://t.co/o4deRoUnuK",5018,197
"46",2976606250,"2976606250","Rep. Glenn Grothman","RepGrothman","Washington, D.C.","U.S. Congressman (WI-06)","http://t.co/MY3WTtaAeb",2700,209
"47",2976598347,"2976598347","Rep. Mia Love","RepMiaLove","Saratoga Springs, UT","Official account for Congresswoman Mia Love, Utah's 4th District","https://t.co/FPQkNcVd05",13190,165
"48",2975091705,"2975091705","Rep. Jody Hice","CongressmanHice","Monroe, GA; Washington, D.C.","I'm honored to serve Georgia's 10th Congressional District.","https://t.co/apR1drgdzS",5178,722
"49",2974648323,"2974648323","Rep. Steve Knight","SteveKnight25","","Proudly representing California's 25th Congressional District.","https://t.co/JnqzI2oWdw",2456,396
"50",2973870195,"2973870195","Buddy Carter","RepBuddyCarter","","Proudly serving Georgia's 1st Congressional District","https://t.co/zGq0mX8dEy",5420,261
"51",2970462034,"2970462034","Kathleen Rice","RepKathleenRice","Long Island, NY","U.S. Representative for #NY04 (Long Island). Former Nassau County DA. Tweets from Kathleen are signed -kr","http://t.co/XBMpgvbVZ1",6733,1007
"52",2970279814,"2970279814","Rep. Debbie Dingell","RepDebDingell","Washington, DC","Proudly serving the people of Michigan's 12th Congressional District. http://t.co/e7qwdRk0zg http://t.co/q9q7Jj0s26","http://t.co/tsIQhHRnwP",15728,2699
"53",2968451607,"2968451607","Bonnie WatsonColeman","RepBonnie","New Jersey ","Honored to serve the people of New Jersey's 12th CD. Wife, Mother, Grandmother. #NJ12. Co-Chair of @CBWGCaucus. Tweets from Bonnie signed -BWC.","https://t.co/nnqUnDnLfU",7059,396
"54",2968007206,"2968007206","Mark DeSaulnier","RepDeSaulnier","Concord, CA ","Honored to represent California's 11th Congressional District. Serving on the House Education and Workforce and Oversight and Government Reform Committees.","https://t.co/pa3PJQ8V5B",8705,331
"55",2966765501,"2966765501","John Katko","RepJohnKatko","Syracuse, New York","Official Twitter account of Rep. John Katko. Proudly representing New York's 24th Congressional District.","https://t.co/GLTSxMTZwp",5063,198
"56",2966758114,"2966758114","Rep. Steve Russell","RepRussell","Fifth District of Oklahoma","Proudly serving the Fifth District of Oklahoma in Congress.","https://t.co/mQXJd4TSrK",3217,503
"57",2966570782,"2966570782","Ruben Gallego","RepRubenGallego","Phoenix, AZ","Proud representative of Arizona's 7th Congressional District","http://t.co/isis6YaDPG",15267,2397
"58",2965083477,"2965083477","Congressman Rod Blum","RepRodBlum","Northeast Iowa","Official Account Of Iowa's 1st District Congressman Rod Blum. Member of @GOPoversight & @HouseSmallBiz #IA01","http://t.co/Bj8xkyTeIJ",6025,2090
